,id,title,actual,prompts_correct,prompts_wrong,all_correct,all_wrong,success_rate
SAMPLE_19,SAMPLE_19,"트럼프 ""화성 개척""... 우주기업株 날았다",0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_20,SAMPLE_20,로봇군단 누비는 '긴박한 전장'…AI에 생사 결정권 맡길 각오됐습니까,0,"M12_축약스코어링, V2_Gamma_영어",김경태_원본,False,False,0.6666666666666666
SAMPLE_21,SAMPLE_21,현대차 이대로 가면 中자율주행SW 써야할 수도,1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_22,SAMPLE_22,"'한국판 IRA' 조세특례제한법 개정안, 국회 본회의 통과",0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_23,SAMPLE_23,"한국앤컴퍼니, 한온시스템 인수…30대그룹 첫 진입",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_24,SAMPLE_24,車카메라 경쟁력 강화 세계 점유율 1위 도전,1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_25,SAMPLE_25,"코오롱인더, 300억 투자 베트남 타이어코드 증설",1,김경태_원본,"M12_축약스코어링, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_26,SAMPLE_26,"한화·LG, 에너지 동맹…""테슬라 잡자""",0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_27,SAMPLE_27,불법이민 추방·신재생 중단 … 행정명령 첫날부터 몰아친다,0,"김경태_원본, M12_축약스코어링, V2_Gamma_영어",,True,False,1.0
SAMPLE_28,SAMPLE_28,"현대차 싱크탱크 ""中BYD 한국 상륙, 절대로 경시해선 안돼""",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_29,SAMPLE_29,K-방산 총출동…첨단 방공망 선보인다,0,"김경태_원본, M12_축약스코어링",V2_Gamma_영어,False,False,0.6666666666666666
SAMPLE_30,SAMPLE_30,"K9 누적 수출 13조원 돌파…항공기 엔진도 생산, K방산의 핵심으로",0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_31,SAMPLE_31,AI로 車유리 손상 분석부터 견적까지…'유리픽스' 플랫폼 출시,1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_32,SAMPLE_32,"美-中 AI기술 격차, 3개월로 좁혀져",0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_33,SAMPLE_33,"한자연, 전동화 파워트레인 기술 동향·개발전략 공유",1,,"김경태_원본, M12_축약스코어링, V2_Gamma_영어",False,True,0.0
SAMPLE_34,SAMPLE_34,"LG엔솔, 美 델타와 주택용 ESS배터리 공급 협력",0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_35,SAMPLE_35,"현대차 인스터, 日서 첫 자체 보조금 지원",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_36,SAMPLE_36,"트럼프 ""상호관세 연기 계획 없다""",0,"M12_축약스코어링, V2_Gamma_영어",김경태_원본,False,False,0.6666666666666666
SAMPLE_37,SAMPLE_37,"美, 상호관세 2단계로 간다…""최대 50% '관세 폭탄' 던진 뒤 협상""",0,"M12_축약스코어링, V2_Gamma_영어",김경태_원본,False,False,0.6666666666666666
SAMPLE_38,SAMPLE_38,"정부, 오사카 엑스포에 韓 독립관 마련",0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_39,SAMPLE_39,"포티투닷, 화성에 자율주행 인프라 깐다",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_40,SAMPLE_40,"AI 품은 융합로봇, 든든해요",0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
SAMPLE_41,SAMPLE_41,AI로 무장한 가성비… '대륙의 한수' 무차별 韓침공,0,"김경태_원본, M12_축약스코어링",V2_Gamma_영어,False,False,0.6666666666666666
SAMPLE_42,SAMPLE_42,"LG이노텍, 車두뇌 AP모듈 하반기 양산",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_43,SAMPLE_43,"글로벌쿼드텍 EVCC, 국내 車 OEM 업체 공급",1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_44,SAMPLE_44,기아 EV3 '2025 대한민국 올해의 차'에 등극,1,"김경태_원본, V2_Gamma_영어",M12_축약스코어링,False,False,0.6666666666666666
SAMPLE_45,SAMPLE_45,韓 긍정적 인식 작용…낮은 관세율 기대감,0,M12_축약스코어링,"김경태_원본, V2_Gamma_영어",False,False,0.3333333333333333
